Bacia Estudo;Data Leitura;Precipitacao;Pressao Atmosferica Estacao;Pressao Atmosferica Max;Pressao Atmosferica Min;Radiacao Global;Temperatura Bulbo;Temperatura Ponto Orvalho;Temperatura Max;Temperatura Min;Temperatura Orvalho Max;Temperatura Orvalho Min;Umidade Max Hora Ant;Umidade Min Hora Ant;Umidade Relativa Ar;Vento Direcao Horaria;Vento Rajada;Vento Velocidade Horaria;Vazao Observada
UHE IBITINGA INVERNADA RECREIO;09/02/2023;0;956.18;956.46;955.9;1118.11;25.29;20.59;26.02;24.64;21.58;20.05;81.63;74.08;77.29;134.46;3.64;1.07;"188.0"
UHE IBITINGA INVERNADA RECREIO;10/02/2023;0;956.67;956.97;956.33;986.83;24.65;20.21;25.35;24.14;20.91;19.49;81.13;74.33;78.04;172.63;3.74;1.12;"177.0"
UHE IBITINGA INVERNADA RECREIO;11/02/2023;0;956.95;957.25;956.6;565.66;22.81;20.11;23.53;22.29;20.8;19.54;88.46;81.83;85.42;127.92;3.88;1.04;"171.0"
UHE IBITINGA INVERNADA RECREIO;12/02/2023;0;956.11;956.39;955.85;621.79;22.53;20.77;23.04;22.13;21.31;20.31;92.38;87.75;90.29;108.75;3.76;1.21;"171.0"
UHE IBITINGA INVERNADA RECREIO;13/02/2023;0;956.35;956.61;956.06;1056.43;24.49;20.23;25.06;23.78;20.85;19.51;82.75;76.29;79.5;215.79;4.01;1.41;"171.0"
UHE IBITINGA INVERNADA RECREIO;14/02/2023;0;955.77;956.16;955.42;1035.63;24.96;20.48;25.62;24.17;21.28;19.66;82.29;74.58;78.25;254.63;4.5;1.27;"172.0"
UHE IBITINGA INVERNADA RECREIO;15/02/2023;0;953.51;953.85;953.26;707.03;25.31;21.76;26.1;24.74;22.32;21.13;84.58;77.42;81.54;214.92;3.6;1.08;"174.0"
UHE IBITINGA INVERNADA RECREIO;16/02/2023;0;951.57;951.9;951.26;770.7;24.05;20.8;24.72;23.48;21.26;20.36;85.88;79.71;83.21;253.38;5.9;2.12;"174.0"
UHE IBITINGA INVERNADA RECREIO;17/02/2023;0;952.3;952.58;951.96;726.05;23.39;20.98;23.98;22.82;21.43;20.63;90;84.79;87.42;183.63;5.06;1.78;"174.0"
UHE IBITINGA INVERNADA RECREIO;18/02/2023;0;955.34;955.57;954.95;752.31;23.64;21.46;24.15;23.15;21.99;21;90.58;86.08;88.42;124.83;4.35;1.48;"202.0"
UHE IBITINGA INVERNADA RECREIO;19/02/2023;0;958.38;958.58;958.11;843.84;22.08;19.42;22.49;21.63;19.83;19.03;87.63;83.96;85.67;146.88;7.83;2.96;"203.0"
UHE IBITINGA INVERNADA RECREIO;20/02/2023;0;957.63;957.98;957.41;892.43;22.28;19.48;23.06;21.49;20.03;18.93;88.54;82.04;85.46;167.5;5.47;1.86;"206.0"
UHE IBITINGA INVERNADA RECREIO;21/02/2023;0;958.3;958.54;957.98;585.81;22.05;19.85;22.44;21.5;20.25;19.34;90.5;85.42;88.04;224.96;2.9;0.88;"206.0"
UHE IBITINGA INVERNADA RECREIO;22/02/2023;0;959.44;959.72;959.16;1128.17;24.65;19.62;25.16;23.91;20.61;18.99;80.67;73.5;76.21;129.96;2.4;0.59;"210.0"
UHE IBITINGA INVERNADA RECREIO;23/02/2023;0;959.7;959.99;959.35;803.03;24.11;20.73;24.84;23.56;21.32;20.19;84.96;78.25;82.38;174.92;3.92;1.06;"203.0"
UHE IBITINGA INVERNADA RECREIO;24/02/2023;0;957.61;957.99;957.42;1056.37;23.9;20.13;24.38;23.2;20.76;19.47;84.58;79.29;81.5;205.71;4.05;1.37;"211.0"
UHE IBITINGA INVERNADA RECREIO;25/02/2023;0;955.93;956.14;955.64;1026.81;25.45;20.42;26.09;24.72;21.12;19.94;79.79;72.46;75.75;227.58;4.23;1.69;"180.0"
UHE IBITINGA INVERNADA RECREIO;26/02/2023;0;958.18;958.42;957.84;584.49;23.88;21.2;24.53;23.34;21.64;20.62;88.13;82.38;85.96;184.42;3.04;0.96;"167.0"
UHE IBITINGA INVERNADA RECREIO;27/02/2023;0;959.59;959.83;959.31;1113.65;25.48;20.85;26.08;24.84;21.8;20.18;82.79;76.13;78.83;167.83;3.19;0.88;"160.0"
UHE IBITINGA INVERNADA RECREIO;28/02/2023;0;960.38;960.72;960.08;897.92;24.65;20.44;25.41;24.05;21.18;19.8;82.38;74.83;78.83;146.25;5.35;1.91;"156.0"
UHE IBITINGA INVERNADA RECREIO;01/03/2023;0;959.36;959.78;958.99;843.28;23.3;19.08;23.91;22.6;19.81;18.34;83.38;75.67;79.58;175.08;4.63;1.33;"155.0"
UHE IBITINGA INVERNADA RECREIO;02/03/2023;0;957.4;957.67;957.21;1072.41;24.86;19.14;25.51;24.09;19.98;18.25;77.29;69.5;73.46;193.96;3.21;0.95;"156.0"
UHE IBITINGA INVERNADA RECREIO;03/03/2023;0;956.26;956.55;955.99;1087.88;25.48;19.66;26.19;24.67;20.54;18.97;77.13;69.25;73;120.17;2.89;0.9;"160.0"
UHE IBITINGA INVERNADA RECREIO;04/03/2023;0;956.94;957.28;956.6;599.17;24.04;21.26;24.88;23.4;21.75;20.59;88.46;81.13;85.63;143.54;4.23;1.13;"172.0"
UHE IBITINGA INVERNADA RECREIO;05/03/2023;0;956.06;956.47;955.83;991.77;23.76;20.1;24.49;23.18;20.89;19.56;84.92;78.08;81.71;200.79;4.79;1.31;"175.0"
UHE IBITINGA INVERNADA RECREIO;06/03/2023;0;953.73;954.03;953.45;1088.74;23.47;19.23;24.13;22.78;19.99;18.71;83.42;77.17;79.5;177.25;3.82;1.21;"175.0"
UHE IBITINGA INVERNADA RECREIO;07/03/2023;0;955.51;955.87;955.08;951.82;22.89;18.89;23.82;22.09;19.68;18.18;84.42;75.63;80.5;93.21;5.61;1.71;"185.0"
UHE IBITINGA INVERNADA RECREIO;08/03/2023;0;957.16;957.48;956.77;1074.25;24.16;19.34;24.75;23.41;20.09;18.59;81.17;74.17;77.54;158.88;3.4;1.1;"232.0"
UHE IBITINGA INVERNADA RECREIO;09/03/2023;0;957.77;958.11;957.44;926.6;24.04;20.15;24.81;23.35;20.8;19.45;84.58;77.21;81.42;98.75;4.4;1.25;"230.0"
UHE IBITINGA INVERNADA RECREIO;10/03/2023;0;958.01;958.3;957.66;511.35;21.92;20.57;22.55;21.45;21.18;20.14;94.58;89.96;92.42;145.38;4.07;1.12;"212.0"
UHE IBITINGA INVERNADA RECREIO;11/03/2023;0;957.15;957.4;956.88;717.53;22.44;20.34;23.05;21.98;20.83;19.92;91.13;86.25;89;114.08;3.26;0.99;"196.0"
UHE IBITINGA INVERNADA RECREIO;12/03/2023;0;957.48;957.73;957.24;695.08;22.92;20.57;23.35;22.45;21.18;19.98;90.17;84.92;87.63;141.83;2.58;0.65;"185.0"
UHE IBITINGA INVERNADA RECREIO;13/03/2023;0;958.04;958.32;957.72;506.87;22.65;20.78;23.12;22.23;21.24;20.31;91.54;87.13;89.79;168.83;3.02;0.85;"184.0"
UHE IBITINGA INVERNADA RECREIO;15/03/2023;0;957.98;958.23;957.78;594.49;23.56;21.18;24.06;23.05;21.75;20.64;89.83;84.63;87.38;162.29;3.05;0.94;"234.0"
UHE IBITINGA INVERNADA RECREIO;16/03/2023;0;956.78;957.08;956.52;808.32;24.52;20.63;25.1;23.98;21.4;19.98;84.08;77.75;80.83;149.63;3.7;1.25;"232.0"
UHE IBITINGA INVERNADA RECREIO;17/03/2023;0;957.43;957.67;957.15;717.9;23.7;19.94;24.3;23.27;20.5;19.41;83.67;77.46;80.79;118.33;3.23;0.93;"218.0"
UHE IBITINGA INVERNADA RECREIO;18/03/2023;0;957.75;957.95;957.5;1095.55;24.16;18.55;24.88;23.46;19.51;17.5;79.17;70.13;74.75;147.33;4.1;1.27;"232.0"
UHE IBITINGA INVERNADA RECREIO;19/03/2023;0;957.5;957.79;957.2;883.65;24.37;20.51;25.32;23.38;21.37;19.59;85.13;75.33;80.58;174.92;4.05;1.05;"232.0"
UHE IBITINGA INVERNADA RECREIO;20/03/2023;0;957.67;957.97;957.36;1089.25;24.83;19.56;25.49;24.15;20.42;19;79.46;71.63;74.75;220.25;3.55;1.18;"218.0"
UHE IBITINGA INVERNADA RECREIO;21/03/2023;0;958.74;959.1;958.36;1087.41;24.01;19.53;24.74;23.41;20.25;18.52;81.88;73.29;78.46;149.75;4.68;1.28;"188.0"
UHE IBITINGA INVERNADA RECREIO;22/03/2023;0;959.48;959.7;959.23;1012.43;24.31;20.08;25.06;23.63;20.63;19.13;82.21;74.21;79.04;153.75;4.09;1.14;"170.0"
UHE IBITINGA INVERNADA RECREIO;23/03/2023;0;959.63;959.86;959.4;954.67;24.75;20.2;25.49;23.96;21.04;19.53;82.88;74.08;78.08;122.79;4.94;1.45;"178.0"
UHE IBITINGA INVERNADA RECREIO;24/03/2023;0;958.7;958.96;958.47;1014.86;25.52;20.24;26.22;24.8;20.93;19.54;79.42;72.33;76.13;181.38;3.09;0.95;"174.0"
UHE IBITINGA INVERNADA RECREIO;25/03/2023;0;957.71;957.96;957.52;944.04;25.53;19.93;26.21;24.79;20.63;19.26;77.67;69.92;73.88;169.67;3.03;0.97;"183.0"
UHE IBITINGA INVERNADA RECREIO;26/03/2023;0;957.58;957.81;957.36;960.1;26.8;19.85;27.46;26.08;20.65;19.1;73.33;65.54;68.96;192.21;3.06;1.02;"185.0"
UHE IBITINGA INVERNADA RECREIO;27/03/2023;0;957.33;957.66;956.99;959.95;25.23;20.75;26.15;24.44;21.34;19.85;81.21;73;78.17;193.46;5.01;1.28;"183.0"
UHE IBITINGA INVERNADA RECREIO;28/03/2023;0;957.86;958.13;957.62;887.69;23.97;20.15;24.5;23.34;20.92;19.64;85;78.54;80.96;154.08;3.94;1.26;"172.0"
UHE IBITINGA INVERNADA RECREIO;29/03/2023;0;957.5;957.76;957.23;980.31;25.08;19.48;25.82;24.24;20.32;18.68;78.92;70.25;74.33;173.29;3.71;1.21;"165.0"
UHE IBITINGA INVERNADA RECREIO;30/03/2023;0;958.9;959.21;958.62;995.53;24.99;19.84;25.53;24.29;20.49;19.34;79.54;73.08;75.75;211.71;3.87;1.18;"157.0"
UHE IBITINGA INVERNADA RECREIO;31/03/2023;0;957.34;957.64;957.09;989.91;26.15;20.43;26.84;25.38;21.15;19.75;77.17;70.04;73.54;218.75;3.43;1.05;"155.0"
UHE IBITINGA INVERNADA RECREIO;01/04/2023;0;956.4;956.68;956.23;995.46;25.21;18.46;26.12;24.5;19.38;17.55;73.75;64.46;69.42;175.54;2.9;0.76;"154.0"
UHE IBITINGA INVERNADA RECREIO;02/04/2023;0;956.87;957.07;956.53;1005.6;23.49;18.27;24.24;22.93;18.82;17.82;77.63;70.96;74.46;161.04;4.42;1.51;"152.0"
UHE IBITINGA INVERNADA RECREIO;03/04/2023;0;957.49;957.74;957.25;957.53;22.85;17.08;23.68;22.03;17.85;16.36;76.67;68.38;72.5;171.63;4.44;1.36;"149.0"
UHE IBITINGA INVERNADA RECREIO;04/04/2023;0;956.9;957.2;956.66;970.53;23.5;17.59;24.29;22.74;18.3;16.83;75.79;68;72.17;126.17;2.8;0.83;"147.0"
UHE IBITINGA INVERNADA RECREIO;05/04/2023;0;956.5;956.78;956.2;908.4;23.51;18.1;24.4;22.75;18.78;17.2;78.88;69.29;74.83;138.75;3.7;1.13;"146.0"
UHE IBITINGA INVERNADA RECREIO;06/04/2023;0;956.42;956.72;956.21;819.2;23.26;18.38;23.91;22.53;19.12;17.82;80.46;72.71;76.38;130.33;4.59;1.59;"144.0"
UHE IBITINGA INVERNADA RECREIO;07/04/2023;0;956.47;956.71;956.15;488.3;22.22;20.18;22.66;21.82;20.48;19.78;90.63;86;88.75;162.5;3.94;1.27;"152.0"
UHE IBITINGA INVERNADA RECREIO;08/04/2023;0;957.98;958.21;957.63;549.02;21.68;19.57;22.12;21.26;19.95;19.23;90.71;86.5;88.71;167.46;3.33;0.92;"154.0"
UHE IBITINGA INVERNADA RECREIO;09/04/2023;0;959.44;959.64;959.2;488.57;21.77;19.76;22.25;21.38;20.25;19.42;91.33;87.17;89;146.75;3.36;1.17;"158.0"
UHE IBITINGA INVERNADA RECREIO;10/04/2023;0;960.25;960.48;960.02;874.47;21.72;17.98;22.31;21.08;18.59;17.45;84.46;79.04;81.42;156.13;4;1.37;"160.0"
UHE IBITINGA INVERNADA RECREIO;11/04/2023;0;958.71;959.02;958.53;896.47;22.03;17.21;22.77;21.18;17.87;16.67;79.83;72.46;76.08;146.04;4.01;1.4;"158.0"
UHE IBITINGA INVERNADA RECREIO;12/04/2023;0;957.03;957.28;956.79;623.78;22.67;19.37;23.41;22.13;19.94;18.99;85.46;79.63;82.67;107.13;3.57;1.2;"153.0"
UHE IBITINGA INVERNADA RECREIO;13/04/2023;0;955.24;955.54;955.03;752.02;23.16;19.76;23.87;22.47;20.33;19.27;85.92;79.88;82.79;105.42;3.41;1.06;"150.0"
UHE IBITINGA INVERNADA RECREIO;14/04/2023;0;955.56;955.77;955.23;439.88;21.63;20.08;22.08;21.23;20.47;19.65;93;88.63;91.17;171.71;3.23;0.75;"156.0"
UHE IBITINGA INVERNADA RECREIO;15/04/2023;0;957.85;958.03;957.6;736.65;22.71;19.81;23.39;22.16;20.49;19.4;88.08;82.54;85.21;130.54;2.83;0.78;"158.0"
UHE IBITINGA INVERNADA RECREIO;16/04/2023;0;957.59;957.92;957.4;859.97;22.98;18.82;23.55;22.26;19.29;18.26;82.58;76.25;79.29;184.46;3.31;1.12;"161.0"
UHE IBITINGA INVERNADA RECREIO;17/04/2023;0;952.88;953.23;952.65;724.53;24.2;19.78;24.76;23.42;20.2;19.28;81.46;75.21;78.25;203.71;3.84;1.27;"162.0"
UHE IBITINGA INVERNADA RECREIO;18/04/2023;0;949.87;950.22;949.56;464.67;23.29;21.35;23.91;22.93;21.76;20.95;91.13;86.21;89.29;274.42;5.74;1.99;"163.0"
UHE IBITINGA INVERNADA RECREIO;19/04/2023;0;952.58;952.78;952.08;727.32;21.94;18.08;22.58;21.51;18.97;17.53;84.13;78.54;80.92;291.38;5.64;1.83;"174.0"
UHE IBITINGA INVERNADA RECREIO;20/04/2023;0;958.96;959.14;958.65;891.67;18.81;11.42;19.45;18.2;12.3;10.58;68.33;59.25;63.92;227.75;3.35;1.07;"175.0"
UHE IBITINGA INVERNADA RECREIO;21/04/2023;0;959.93;960.17;959.71;912.78;17.39;12.13;18.15;16.63;12.71;11.45;78.13;70.38;74.63;139.08;4.22;1.52;"177.0"
UHE IBITINGA INVERNADA RECREIO;22/04/2023;0;959.42;959.63;959.2;831.58;19.05;15.1;19.82;18.36;15.62;14.63;82.29;76.58;79.79;155.67;3.67;1.45;"184.0"
UHE IBITINGA INVERNADA RECREIO;23/04/2023;0;960.61;960.8;960.37;823.57;20.45;15.73;21.32;19.61;16.45;15.24;80.67;73.25;76.83;135.83;3.92;1.35;"187.0"
UHE IBITINGA INVERNADA RECREIO;24/04/2023;0;961.45;961.65;961.23;871.27;20.43;15.23;21.19;19.72;16.07;14.51;79.38;72.04;75.67;140.29;3.8;1.3;"182.0"
UHE IBITINGA INVERNADA RECREIO;25/04/2023;0;961.13;961.37;960.93;495.18;20;16.08;20.61;19.42;16.51;15.53;82.54;75.88;79.71;157.21;3.36;1.08;"158.0"
UHE IBITINGA INVERNADA RECREIO;26/04/2023;0;959.15;959.45;958.85;327.05;20.5;18.72;20.96;20.15;19.08;18.4;91.75;86.92;89.71;168.25;3.4;1.13;"150.0"
UHE IBITINGA INVERNADA RECREIO;27/04/2023;0;957.53;957.8;957.32;462.32;19.78;18.44;20.33;19.25;18.86;17.99;94.5;89.79;92.63;174.83;2.81;0.85;"148.0"
UHE IBITINGA INVERNADA RECREIO;04/05/2023;0;958.98;959.17;958.73;797.52;22.14;15.44;22.96;21.47;16.46;14.81;74.96;67.04;70.75;143.63;2.34;0.72;"143.0"
UHE IBITINGA INVERNADA RECREIO;05/05/2023;0;960.52;960.74;960.25;794.81;22.51;16.24;23.34;21.75;16.95;15.45;75.25;67.21;71.58;136.29;2.35;0.63;"141.0"
UHE IBITINGA INVERNADA RECREIO;06/05/2023;0;960.54;960.79;960.33;734.81;22.34;17.31;23.17;21.64;17.97;16.71;78.83;71.92;75.71;148.92;2.63;0.75;"138.0"
UHE IBITINGA INVERNADA RECREIO;07/05/2023;0;959.49;959.74;959.28;687.81;22.33;17.89;23.04;21.67;18.4;17.29;81.46;75.79;78.88;124.71;2.52;0.69;"137.0"
UHE IBITINGA INVERNADA RECREIO;08/05/2023;0;960;960.22;959.75;769.51;22.23;16.57;23.01;21.52;17.23;16.03;77.13;70.58;73.71;155.25;2.53;0.78;"137.0"
UHE IBITINGA INVERNADA RECREIO;09/05/2023;0;959.99;960.22;959.77;696.78;22.36;16.96;23.07;21.58;17.59;16.33;78.13;70.88;74.46;149.63;2.3;0.68;"135.0"
UHE IBITINGA INVERNADA RECREIO;10/05/2023;0;959.21;959.52;958.95;650.68;22.03;18.43;22.84;21.33;18.79;17.77;84.58;77.79;82.21;188.96;2.81;0.9;"134.0"
UHE IBITINGA INVERNADA RECREIO;11/05/2023;0;957.6;957.83;957.39;586.9;19.88;17.48;20.48;19.39;18.18;17.15;90.08;86.21;87.71;173.54;2.57;0.56;"133.0"
UHE IBITINGA INVERNADA RECREIO;12/05/2023;0;958.88;959.08;958.64;803.58;17.84;13.74;18.7;17.17;14.52;13.21;83.33;76;79.58;159;3.17;1;"136.0"
UHE IBITINGA INVERNADA RECREIO;13/05/2023;0;960.75;960.96;960.48;804.45;16.83;11.75;17.48;16.19;12.29;11.33;78.38;72.46;75.21;167.58;3.1;1.05;"135.0"
UHE IBITINGA INVERNADA RECREIO;14/05/2023;0;962.4;962.58;962.12;802.26;16.42;10.48;17.14;15.63;11.3;9.75;76.38;69.17;72.63;176.08;2.12;0.58;"134.0"
UHE IBITINGA INVERNADA RECREIO;15/05/2023;0;962.74;962.98;962.53;805.04;16.73;9.8;17.68;15.88;10.65;9.12;73.29;65.33;69.08;142.46;2.4;0.66;"133.0"
UHE IBITINGA INVERNADA RECREIO;16/05/2023;0;961.48;961.73;961.27;801.92;16.39;8.96;17.31;15.5;9.65;8.12;69.58;61.17;65.88;142.54;2.25;0.61;"132.0"
UHE IBITINGA INVERNADA RECREIO;17/05/2023;0;961.2;961.43;960.98;804.11;17.04;11.5;17.75;16.25;12.03;10.81;76.25;69.63;73.33;154.38;4.63;1.67;"132.0"
UHE IBITINGA INVERNADA RECREIO;18/05/2023;0;962.06;962.28;961.81;792.47;16.68;11.5;17.51;15.8;12.13;10.74;78.58;72.13;75.58;156.71;3.49;1.26;"131.0"
UHE IBITINGA INVERNADA RECREIO;19/05/2023;0;961.48;961.77;961.3;747.22;16.61;11.93;17.4;15.75;12.64;11.25;81.04;74.92;77.92;161.88;2.37;0.8;"130.0"
UHE IBITINGA INVERNADA RECREIO;20/05/2023;0;960.65;960.88;960.42;742.73;16.98;11.92;17.94;16.08;12.62;11.16;79.96;73.21;76.71;156.83;2.22;0.58;"130.0"
UHE IBITINGA INVERNADA RECREIO;21/05/2023;0;959.28;959.56;959.05;746.29;18.28;10.81;19.06;17.39;11.53;10.24;71;63.79;66.88;124.96;3.33;1.08;"130.0"
UHE IBITINGA INVERNADA RECREIO;22/05/2023;0;960.35;960.54;960.05;473.68;18.68;11.2;19.63;17.99;11.87;10.49;68.38;59.67;64.67;103.88;3.25;1.02;"130.0"
UHE IBITINGA INVERNADA RECREIO;23/05/2023;0;962;962.22;961.77;739.35;18.61;12.18;19.4;17.86;12.84;11.64;74.08;67.25;70.58;145.25;2.97;0.82;"129.0"
UHE IBITINGA INVERNADA RECREIO;24/05/2023;0;961.15;961.41;960.93;688.55;18.85;12.18;19.7;17.93;12.76;11.64;72.5;65.63;68.88;122.5;3.62;1.11;"126.0"
UHE IBITINGA INVERNADA RECREIO;25/05/2023;0;961.58;961.81;961.35;696.38;20.36;13.61;21.17;19.45;14.13;12.95;71.71;64.42;68.25;111.63;3.61;1.15;"127.0"
UHE IBITINGA INVERNADA RECREIO;26/05/2023;0;961.33;961.56;961.12;712.6;20.4;13.62;21.24;19.53;14.14;13.11;72.58;65.42;68.83;133.96;3.42;1.12;"127.0"
UHE IBITINGA INVERNADA RECREIO;27/05/2023;0;960.59;960.84;960.37;718.3;21.13;13.74;21.93;20.28;14.19;13.14;69.67;62.79;66.25;153.04;3.36;1.2;"127.0"
UHE IBITINGA INVERNADA RECREIO;28/05/2023;0;959.78;960.01;959.56;168.43;18.73;15.98;19.23;18.37;16.21;15.6;85.88;81.5;84.29;163;2.63;0.88;"126.0"
UHE IBITINGA INVERNADA RECREIO;29/05/2023;0;960.58;960.82;960.32;580.1;19.11;15.45;19.7;18.55;15.89;15.2;83.58;78.83;81;153.96;5.14;1.88;"128.0"
UHE IBITINGA INVERNADA RECREIO;30/05/2023;0;961.88;962.11;961.6;183.95;16.76;15.04;17.2;16.39;15.23;14.8;91.46;87.83;90.13;153.33;4.65;1.71;"138.0"
UHE IBITINGA INVERNADA RECREIO;31/05/2023;0;961.85;962.1;961.58;338.95;17.75;16.5;18.12;17.46;16.8;16.21;94.29;91.04;92.83;184.79;3.48;1.02;"155.0"
UHE IBITINGA INVERNADA RECREIO;01/06/2023;0;963.35;963.55;963.14;572.12;16.97;15.12;17.63;16.43;15.63;14.71;91.83;87.75;89.88;153.46;2.86;0.88;"159.0"
UHE IBITINGA INVERNADA RECREIO;02/06/2023;0;962.24;962.5;962.09;689.53;16.8;14.07;17.54;16.08;14.67;13.57;88.71;83.75;86.13;158.79;2.85;0.83;"161.0"
UHE IBITINGA INVERNADA RECREIO;03/06/2023;0;961.72;961.92;961.5;740.85;18.17;13.34;18.89;17.44;14;12.79;80.63;75.29;77.63;127.25;2.8;0.87;"158.0"
UHE IBITINGA INVERNADA RECREIO;04/06/2023;0;963;963.17;962.76;727.42;18.8;13.11;19.66;17.95;13.78;12.49;76.96;69.42;73.29;156.79;2.86;0.91;"148.0"
UHE IBITINGA INVERNADA RECREIO;05/06/2023;0;963.03;963.24;962.85;724.5;18.42;12.64;19.29;17.67;13.27;12.01;76.04;68.33;72.5;157.71;2.8;0.93;"139.0"
UHE IBITINGA INVERNADA RECREIO;06/06/2023;0;962.39;962.61;962.21;723.83;17.88;11.72;18.68;17.16;12.57;11.12;76.04;68.54;71.83;127.13;3.1;1;"133.0"
UHE IBITINGA INVERNADA RECREIO;07/06/2023;0;962.78;962.98;962.53;708.45;18.05;12.35;18.93;17.3;13.12;11.74;77.08;69.67;73.29;165.04;2.28;0.7;"132.0"
UHE IBITINGA INVERNADA RECREIO;08/06/2023;0;962.91;963.15;962.7;708.07;18.78;13.31;19.52;17.89;13.97;12.55;77.63;70.13;73.92;141.88;2.15;0.65;"130.0"
UHE IBITINGA INVERNADA RECREIO;09/06/2023;0;961.54;961.76;961.36;706.8;19.71;12.19;20.52;18.85;12.94;11.64;71.21;64.04;67.5;176.21;3.29;1.03;"127.0"
UHE IBITINGA INVERNADA RECREIO;10/06/2023;0;960.93;961.17;960.74;705.9;19.9;11.98;20.85;19.05;12.55;11.35;69.38;62.17;65.92;153;3.08;1.07;"127.0"
UHE IBITINGA INVERNADA RECREIO;11/06/2023;0;959.43;959.66;959.25;674.7;20.69;12.39;21.58;19.83;12.99;11.63;67.75;60.25;64.21;188.71;3.48;1.13;"125.0"
UHE IBITINGA INVERNADA RECREIO;12/06/2023;0;959.07;959.25;958.8;685.78;21.25;12.47;22.15;20.35;13.13;11.71;66.25;57.75;62.17;142.83;3.81;1.37;"126.0"
UHE IBITINGA INVERNADA RECREIO;13/06/2023;0;962.06;962.29;961.78;289.03;19.33;15.67;19.92;19.03;16.03;15.38;81;77;79.54;162.88;5.93;2.13;"127.0"
UHE IBITINGA INVERNADA RECREIO;14/06/2023;0;962.19;962.4;961.96;92.55;16.53;15.52;16.75;16.38;15.66;15.35;94.21;93;93.83;148.21;6.11;2.24;"136.0"
UHE IBITINGA INVERNADA RECREIO;15/06/2023;0;961.91;962.18;961.64;44.88;15.43;15.33;15.66;15.34;15.55;15.24;99.08;99;99.04;221.96;3.43;0.91;"184.0"
UHE IBITINGA INVERNADA RECREIO;16/06/2023;0;963.59;963.83;963.3;505.02;13.18;11.04;13.59;12.78;11.53;10.68;90.25;85.67;87.58;274.33;3.99;1.47;"175.0"
UHE IBITINGA INVERNADA RECREIO;17/06/2023;0;964.65;964.88;964.4;647.36;11.95;9.1;12.64;11.2;9.6;8.54;87.58;81.5;84.5;179.46;2.61;0.87;"176.0"
UHE IBITINGA INVERNADA RECREIO;18/06/2023;0.2;964.43;964.65;964.2;743.8;13.1;9.52;13.97;12.41;10.17;8.82;84.13;77.42;81.38;169.58;2.52;0.77;"179.0"
UHE IBITINGA INVERNADA RECREIO;19/06/2023;0;964.75;964.97;964.54;740.05;14.3;10.16;15.15;13.5;10.88;9.56;82.96;76.25;79.63;149.04;2.98;1.03;"180.0"
UHE IBITINGA INVERNADA RECREIO;20/06/2023;0;963.82;964.08;963.65;717.08;16.94;11.72;17.73;16.03;12.36;10.92;79.75;72.5;76;154.38;2.51;0.78;"171.0"
UHE IBITINGA INVERNADA RECREIO;21/06/2023;0;962.05;962.28;961.87;702.72;18.08;11.35;18.97;17.27;12.15;10.72;73.25;65.42;69.33;102.33;3.17;1.33;"145.0"
UHE IBITINGA INVERNADA RECREIO;22/06/2023;0;961.36;961.55;961.16;703.74;18.77;11.22;19.52;17.94;11.79;10.75;69.54;62.88;66.04;95.79;3.39;1.35;"137.0"
UHE IBITINGA INVERNADA RECREIO;23/06/2023;0;960.66;960.89;960.44;658.71;18.92;12.08;19.66;18.15;12.6;11.49;71.42;65.04;68.42;100.79;3.38;1.4;"134.0"
UHE IBITINGA INVERNADA RECREIO;24/06/2023;0;961.09;961.3;960.82;688.25;18.92;12.19;19.75;18.08;12.76;11.65;72.83;65.21;69.08;107.29;3.46;1.34;"133.0"
UHE IBITINGA INVERNADA RECREIO;25/06/2023;0;962.46;962.66;962.2;707.37;18.91;12.8;19.76;18.05;13.49;12.08;75.42;67.21;71.04;158.83;2.5;0.76;"133.0"
UHE IBITINGA INVERNADA RECREIO;26/06/2023;0;962.45;962.66;962.24;724.37;18.54;11.95;19.39;17.79;12.63;11.38;73.5;66.25;69.96;89.33;3.51;1.33;"132.0"
UHE IBITINGA INVERNADA RECREIO;27/06/2023;0;962.06;962.29;961.9;717.65;18.83;12.13;19.66;17.96;12.76;11.64;73.17;65.67;69.21;142.83;3.82;1.45;"130.0"
UHE IBITINGA INVERNADA RECREIO;28/06/2023;0;962.48;962.63;962.23;714.98;19.4;12.49;20.21;18.43;13.14;11.85;73.29;65.42;68.79;180.29;3.11;1.18;"128.0"
UHE IBITINGA INVERNADA RECREIO;29/06/2023;0;963.62;963.82;963.36;709.96;19.12;13.18;20.06;18.35;13.81;12.55;75.25;67.13;71.63;132.96;3.18;0.98;"128.0"
UHE IBITINGA INVERNADA RECREIO;30/06/2023;0;964.61;964.86;964.38;700.03;18.33;13.43;19.19;17.67;14.08;12.95;79.46;72.96;76.42;158.54;4.1;1.57;"128.0"
UHE IBITINGA INVERNADA RECREIO;01/07/2023;0;963.15;963.43;962.98;693.85;17.85;13.05;18.65;17.07;13.78;12.49;80.79;74.71;77.33;171.21;2.26;0.65;"127.0"
UHE IBITINGA INVERNADA RECREIO;02/07/2023;0;961.54;961.81;961.31;712.7;17.68;13.03;18.5;16.93;13.65;12.48;80.33;74.21;77.29;156.96;2.72;0.82;"127.0"
UHE IBITINGA INVERNADA RECREIO;03/07/2023;0;962.87;963.02;962.61;732.86;16.87;11.6;17.65;16.18;12.12;11.13;77.5;70.92;74.42;150.71;4.21;1.67;"128.0"
