prefix;date;station_name;value;value_flu;read_value_flu;transmission_type_name;qtd_measurements;max_value
62752000;2022-07-27 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;9.346.875;9.346.875;6.634.479.166.666.680;WEBSERVICE;96;96.0
62752000;2022-07-28 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;9.457.291.666.666.660;9.457.291.666.666.660;6.861.145.833.333.330;WEBSERVICE;96;96.0
62752000;2022-07-29 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;9.455.208.333.333.330;9.455.208.333.333.330;68.559.375;WEBSERVICE;96;95.0
62752000;2022-07-30 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;9.464.583.333.333.330;9.464.583.333.333.330;6.876.354.166.666.670;WEBSERVICE;96;96.0
62752000;2022-07-31 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;9.391.666.666.666.660;9.391.666.666.666.660;672.552.083.333.333;WEBSERVICE;96;95.0
62752000;2022-08-01 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;9.290.625;9.290.625;65.203.125.000.000.000;WEBSERVICE;96;93.0
62752000;2022-08-02 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;9.251.041.666.666.660;9.251.041.666.666.660;6.437.187.499.999.990;WEBSERVICE;96;93.0
62752000;2022-08-03 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;919.375;919.375;6.317.604.166.666.660;WEBSERVICE;96;93.0
62752000;2022-08-04 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;9.152.083.333.333.330;9.152.083.333.333.330;6.234.166.666.666.660;WEBSERVICE;96;92.0
62752000;2022-08-05 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;9.214.583.333.333.330;9.214.583.333.333.330;6.362.187.499.999.990;WEBSERVICE;96;94.0
62752000;2022-08-06 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;9.276.041.666.666.660;9.276.041.666.666.660;64.878.125;WEBSERVICE;96;94.0
62752000;2022-08-07 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;9.265.625;9.265.625;6.466.875.000.000.000;WEBSERVICE;96;94.0
