prefix;date;station_name;value;value_flu;read_value_flu;transmission_type_name;qtd_measurements;max_value
62776800;2022-07-26 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.111.458.333.333.300;10.111.458.333.333.300;139.659.375;WEBSERVICE;96;104.0
62776800;2022-07-27 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.429.166.666.666.600;10.429.166.666.666.600;15.028.854.166.666.600;WEBSERVICE;96;109.0
62776800;2022-07-28 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.390.625;10.390.625;14.897.083.333.333.300;WEBSERVICE;96;108.0
62776800;2022-07-29 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.152.083.333.333.300;11.152.083.333.333.300;17.579.062.500.000.000;WEBSERVICE;96;115.0
62776800;2022-07-30 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.170.833.333.333.300;11.170.833.333.333.300;17.644.166.666.666.600;WEBSERVICE;96;115.0
62776800;2022-07-31 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.128.125;11.128.125;17.486.875.000.000.000;WEBSERVICE;96;113.0
62776800;2022-08-01 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.940.625;10.940.625;16.808.333.333.333.300;WEBSERVICE;96;113.0
62776800;2022-08-02 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.092.708.333.333.300;11.092.708.333.333.300;17.356.875.000.000.000;WEBSERVICE;96;113.0
62776800;2022-08-03 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.128.125;11.128.125;174.871.875;WEBSERVICE;96;114.0
62776800;2022-08-04 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;1.109.375;1.109.375;17.360.104.166.666.600;WEBSERVICE;96;113.0
62776800;2022-08-05 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.053.125;11.053.125;17.214.791.666.666.600;WEBSERVICE;96;117.0
62776800;2022-08-06 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.005.208.333.333.300;11.005.208.333.333.300;1.704.156.250.000.000;WEBSERVICE;96;114.0
62776800;2022-08-07 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;110.125;110.125;1.706.593.750.000.000;WEBSERVICE;96;114.0
62776800;2022-08-08 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.120.833.333.333.300;11.120.833.333.333.300;17.464.062.499.999.900;WEBSERVICE;96;115.0
62776800;2022-08-09 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.205.208.333.333.300;11.205.208.333.333.300;17.773.020.833.333.300;WEBSERVICE;96;115.0
62776800;2022-08-10 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.201.041.666.666.600;11.201.041.666.666.600;1.777.208.333.333.330;WEBSERVICE;96;121.0
62776800;2022-08-11 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;1.144.375;1.144.375;18.660.624.999.999.900;WEBSERVICE;96;117.0
62776800;2022-08-12 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.932.291.666.666.600;11.932.291.666.666.600;2.054.208.333.333.330;WEBSERVICE;96;121.0
